interactionId,participantId,elementId,timestamp_local,timestamp_utcoffset,interaction,token,type,source
15502,132,69,"2021-11-03 16:32:12",-0700,tap,,,
15503,132,3,"2021-11-03 16:32:14",-0700,present,,,
15588,132,9,"2021-11-03 16:35:45",-0700,tap,,,
15589,132,4,"2021-11-03 16:35:45",-0700,present,,,
15613,132,19,"2021-11-03 16:36:06",-0700,tap,,,
15617,132,18,"2021-11-03 16:36:07",-0700,tap,,,
15631,132,201,"2021-11-03 16:36:19",-0700,tap,,,
15657,132,11,"2021-11-03 16:36:50",-0700,tap,,,
15658,132,6,"2021-11-03 16:36:50",-0700,present,,,
15678,132,12,"2021-11-03 16:37:08",-0700,tap,,,
15679,132,7,"2021-11-03 16:37:08",-0700,present,,,
15722,132,30,"2021-11-03 16:38:38",-0700,tap,,,
27891,132,69,"2021-11-10 10:56:29",-0800,tap,,,
27892,132,3,"2021-11-10 10:56:31",-0800,present,,,
27893,132,4,"2021-11-10 11:09:35",-0800,present,,,
27894,132,9,"2021-11-10 11:09:35",-0800,tap,,,
27895,132,3,"2021-11-10 11:09:41",-0800,present,,,
27896,132,20,"2021-11-10 11:09:41",-0800,tap,,,
27897,132,13,"2021-11-10 11:10:04",-0800,tap,,,
27898,132,238,"2021-11-10 11:10:08",-0800,tap,,,
27899,132,90,"2021-11-10 11:10:08",-0800,present,,,
27900,132,214,"2021-11-10 11:10:11",-0800,tap,,,
27901,132,92,"2021-11-10 11:10:20",-0800,tap,,,
27902,132,238,"2021-11-10 11:10:27",-0800,tap,,,
27903,132,90,"2021-11-10 11:10:27",-0800,present,,,
27904,132,215,"2021-11-10 11:10:30",-0800,tap,,,
27905,132,92,"2021-11-10 11:10:32",-0800,tap,,,
27906,132,239,"2021-11-10 11:10:34",-0800,tap,,,
27907,132,90,"2021-11-10 11:10:34",-0800,present,,,
27908,132,92,"2021-11-10 11:10:38",-0800,tap,,,
27909,132,333,"2021-11-10 11:10:43",-0800,tap,,,
27910,132,334,"2021-11-10 11:11:07",-0800,tap,,,
27911,132,335,"2021-11-10 11:11:27",-0800,tap,,,
27912,132,342,"2021-11-10 11:11:38",-0800,tap,,,
27913,132,44,"2021-11-10 11:11:44",-0800,tap,,,
27914,132,384,"2021-11-10 11:11:52",-0800,tap,,,
27915,132,102,"2021-11-10 11:11:56",-0800,tap,,,
27916,132,9,"2021-11-10 11:12:09",-0800,tap,,,
27917,132,4,"2021-11-10 11:12:09",-0800,present,,,
27918,132,3,"2021-11-10 11:12:10",-0800,present,,,
27919,132,20,"2021-11-10 11:12:10",-0800,tap,,,
27920,132,9,"2021-11-10 11:12:24",-0800,tap,,,
27921,132,4,"2021-11-10 11:12:24",-0800,present,,,
27922,132,3,"2021-11-10 11:12:27",-0800,present,,,
27923,132,20,"2021-11-10 11:12:27",-0800,tap,,,
27924,132,13,"2021-11-10 11:12:36",-0800,tap,,,
27925,132,238,"2021-11-10 11:12:38",-0800,tap,,,
27926,132,90,"2021-11-10 11:12:38",-0800,present,,,
27927,132,214,"2021-11-10 11:12:39",-0800,tap,,,
27928,132,214,"2021-11-10 11:12:40",-0800,tap,,,
27929,132,215,"2021-11-10 11:12:41",-0800,tap,,,
27930,132,92,"2021-11-10 11:12:46",-0800,tap,,,
27931,132,237,"2021-11-10 11:12:52",-0800,tap,,,
27932,132,237,"2021-11-10 11:12:56",-0800,tap,,,
27933,132,333,"2021-11-10 11:12:59",-0800,tap,,,
27934,132,334,"2021-11-10 11:13:05",-0800,tap,,,
27935,132,335,"2021-11-10 11:13:31",-0800,tap,,,
27936,132,336,"2021-11-10 11:13:33",-0800,tap,,,
