participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Friday,SumTotalEventInteractions,TodayPageGoal-Friday,LTGFolderUse,SumTotalLTGNoteInteractions,LTGGoal,FZFolderUse,SumTotalFZNoteInteractions,FZGoal,TodayPageGoal-Thursday,TodayPageUse-Monday,TodayPageGoal-Tuesday,TodayPageGoal-Wednesday,TodayPageUse-Thursday,TodayPageGoal-Saturday,TodayPageGoal-Monday,TodayPageUse-Sunday,TodayPageUse-Saturday,TodayPageUse-Tuesday,TodayPageUse-Wednesday,TodayPageGoal-Sunday
29,0.5714285714285714,1.1428571428571428,1.0,3,0.8571428571428571,0.6666666666666666,0.14285714285714285,0.14285714285714285,1,0.14285714285714285,0.14285714285714285,1,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
48,2.0,3.142857142857143,3.5,1,2.7142857142857144,0.0,0.5714285714285714,0.5714285714285714,6,0.5714285714285714,0.5714285714285714,6,4.0,0,0.0,0.0,13,0.0,0.0,0,0,0,0,0.0
71,6.0,11.142857142857142,10.5,3,5.571428571428571,0.3333333333333333,1.2857142857142858,2.142857142857143,30,1.2857142857142858,2.142857142857143,30,4.666666666666667,5,0.0,0.0,21,0.0,0.6666666666666666,0,0,0,0,0.0
77,1.0,1.7142857142857142,1.75,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,2,0.0
95,2.142857142857143,4.714285714285714,3.75,6,11.142857142857142,2.3333333333333335,1.1428571428571428,3.0,26,1.1428571428571428,3.0,26,0.6666666666666666,8,4.0,3.0,2,1.6666666666666667,2.6666666666666665,12,4,16,8,3.6666666666666665
97,1.2857142857142858,2.142857142857143,2.25,2,3.0,0.6666666666666666,1.2857142857142858,2.2857142857142856,31,1.2857142857142858,2.2857142857142856,31,0.0,0,1.6666666666666667,0.0,0,0.0,0.0,0,0,8,0,0.0
99,2.4285714285714284,4.714285714285714,4.25,0,13.0,0.0,1.5714285714285714,6.571428571428571,48,1.5714285714285714,6.571428571428571,48,0.0,0,0.0,5.333333333333333,0,1.0,0.0,3,2,0,15,1.0
100,3.0,4.714285714285714,5.25,2,8.857142857142858,0.6666666666666666,2.0,3.0,52,2.0,3.0,52,2.0,3,2.6666666666666665,2.3333333333333335,7,1.3333333333333333,0.6666666666666666,3,5,12,7,0.6666666666666666
101,1.7142857142857142,3.7142857142857144,3.0,0,2.4285714285714284,0.0,0.7142857142857143,1.1428571428571428,6,0.7142857142857143,1.1428571428571428,6,0.0,0,1.6666666666666667,0.3333333333333333,0,0.0,0.0,0,0,5,1,0.0
103,0.42857142857142855,0.7142857142857143,0.75,0,2.2857142857142856,0.0,0.7142857142857143,0.5714285714285714,18,0.7142857142857143,0.5714285714285714,18,0.3333333333333333,0,0.0,1.3333333333333333,2,0.0,0.0,0,0,0,3,0.0
105,0.14285714285714285,0.2857142857142857,0.25,0,1.4285714285714286,0.0,0.42857142857142855,0.42857142857142855,7,0.42857142857142855,0.42857142857142855,7,0.0,0,0.0,1.0,0,0.0,0.0,0,0,0,3,0.0
106,1.7142857142857142,3.5714285714285716,3.0,0,8.0,0.0,0.7142857142857143,2.7142857142857144,12,0.7142857142857143,2.7142857142857144,12,1.6666666666666667,0,1.3333333333333333,3.3333333333333335,6,0.0,0.0,0,0,4,12,0.0
109,5.285714285714286,23.428571428571427,9.25,0,13.285714285714286,0.0,2.2857142857142856,1.8571428571428572,49,2.2857142857142856,1.8571428571428572,49,0.0,0,0.0,8.333333333333334,0,0.0,0.0,2,0,0,21,0.6666666666666666
110,3.7142857142857144,7.142857142857143,6.5,5,13.142857142857142,1.6666666666666667,0.8571428571428571,0.7142857142857143,10,0.8571428571428571,0.7142857142857143,10,5.333333333333333,0,0.0,0.0,13,3.3333333333333335,0.0,0,11,0,0,0.0
111,3.857142857142857,9.571428571428571,6.75,0,20.285714285714285,0.0,0.8571428571428571,0.5714285714285714,20,0.8571428571428571,0.5714285714285714,20,0.0,0,0.0,4.666666666666667,0,0.0,0.0,0,0,0,18,0.0
114,1.7142857142857142,4.0,3.0,2,9.0,0.6666666666666666,0.8571428571428571,2.857142857142857,19,0.8571428571428571,2.857142857142857,19,1.3333333333333333,3,3.3333333333333335,2.3333333333333335,3,1.0,1.3333333333333333,4,3,11,6,1.6666666666666667
115,4.571428571428571,9.714285714285714,8.0,9,27.285714285714285,4.333333333333333,1.8571428571428572,4.714285714285714,29,1.8571428571428572,4.714285714285714,29,3.0,16,4.333333333333333,4.666666666666667,7,3.6666666666666665,7.0,6,9,12,11,3.0
116,2.4285714285714284,6.285714285714286,4.25,0,6.428571428571429,0.0,0.7142857142857143,0.5714285714285714,9,0.7142857142857143,0.5714285714285714,9,0.0,5,3.6666666666666665,0.0,0,0.0,2.0,0,0,8,0,0.0
119,3.857142857142857,8.0,6.75,7,14.285714285714286,1.6666666666666667,3.7142857142857144,4.857142857142857,58,3.7142857142857144,4.857142857142857,58,4.333333333333333,0,3.6666666666666665,2.3333333333333335,11,0.6666666666666666,0.0,10,2,11,7,2.6666666666666665
122,4.857142857142857,9.285714285714286,8.5,0,23.285714285714285,0.0,0.5714285714285714,0.8571428571428571,10,0.5714285714285714,0.8571428571428571,10,0.0,0,4.0,6.333333333333333,0,8.333333333333334,0.0,6,18,10,15,3.0
124,0.8571428571428571,1.5714285714285714,1.5,0,11.285714285714286,0.0,0.42857142857142855,0.2857142857142857,3,0.42857142857142855,0.2857142857142857,3,1.0,5,2.6666666666666665,0.0,4,1.6666666666666667,1.6666666666666667,14,5,8,0,4.333333333333333
125,0.7142857142857143,1.0,1.25,0,0.8571428571428571,0.0,1.0,0.8571428571428571,19,1.0,0.8571428571428571,19,0.0,0,1.6666666666666667,0.0,0,0.0,0.0,0,0,5,0,0.0
128,8.714285714285714,20.714285714285715,15.25,2,45.714285714285715,0.3333333333333333,4.142857142857143,10.428571428571429,63,4.142857142857143,10.428571428571429,63,10.0,44,1.0,5.666666666666667,27,0.0,17.666666666666668,31,0,4,20,12.333333333333334
129,2.857142857142857,6.571428571428571,5.0,0,6.285714285714286,0.0,0.5714285714285714,0.7142857142857143,10,0.5714285714285714,0.7142857142857143,10,0.0,0,1.3333333333333333,4.666666666666667,0,0.0,0.0,0,0,4,14,0.0
130,3.857142857142857,8.714285714285714,6.75,3,15.285714285714286,0.6666666666666666,1.7142857142857142,1.7142857142857142,33,1.7142857142857142,1.7142857142857142,33,2.6666666666666665,11,2.6666666666666665,6.666666666666667,7,0.0,4.0,0,0,8,22,0.0
131,3.0,6.142857142857143,5.25,3,5.857142857142857,1.0,0.8571428571428571,1.2857142857142858,31,0.8571428571428571,1.2857142857142858,31,0.0,2,0.3333333333333333,2.6666666666666665,0,0.0,0.6666666666666666,0,0,2,8,0.0
132,20.142857142857142,44.0,35.25,7,32.0,2.3333333333333335,1.7142857142857142,1.7142857142857142,35,1.7142857142857142,1.7142857142857142,35,4.0,6,1.0,6.666666666666667,11,12.333333333333334,2.3333333333333335,6,27,3,16,2.6666666666666665
137,0.42857142857142855,0.8571428571428571,0.75,0,3.0,0.0,0.7142857142857143,1.0,17,0.7142857142857143,1.0,17,0.0,0,3.6666666666666665,0.0,0,0.0,0.0,0,0,12,1,0.0
140,3.4285714285714284,10.857142857142858,6.0,4,9.0,1.3333333333333333,1.4285714285714286,1.7142857142857142,25,1.4285714285714286,1.7142857142857142,25,0.0,19,0.0,2.0,0,0.0,6.333333333333333,0,0,0,7,0.0
162,0.7142857142857143,1.7142857142857142,1.25,0,3.857142857142857,0.0,0.0,0.14285714285714285,0,0.0,0.14285714285714285,0,3.6666666666666665,0,0.0,0.0,17,0.0,0.0,0,0,0,0,0.0
