participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Sunday,TodayPageUse-Monday,TodayPageUse-Tuesday,TodayPageUse-Wednesday,TodayPageUse-Thursday,TodayPageUse-Friday,TodayPageUse-Saturday,SumTotalEventInteractions,TodayPageGoal-Sunday,TodayPageGoal-Monday,TodayPageGoal-Tuesday,TodayPageGoal-Wednesday,TodayPageGoal-Thursday,TodayPageGoal-Friday,TodayPageGoal-Saturday,LTGFolderUse,SumTotalLTGNoteInteractions,LTGGoal,FZFolderUse,SumTotalFZNoteInteractions,FZGoal
10,0.5714285714285714,0.5714285714285714,1.0,0,0,0,4,0,0,0,0.7142857142857143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,2,0.2857142857142857,0.14285714285714285,2
22,0.0,0.0,0.0,0,0,3,0,0,0,0,0.14285714285714285,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
23,0.0,0.0,0.0,0,4,1,0,0,0,0,1.0,0.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
28,1.5714285714285714,2.5714285714285716,2.75,0,11,13,2,7,7,0,7.571428571428571,0.0,3.3333333333333335,3.6666666666666665,0.3333333333333333,1.6666666666666667,2.0,0.0,2.0,4.285714285714286,23,2.0,4.285714285714286,23
29,9.571428571428571,17.571428571428573,16.75,9,54,14,18,42,113,19,118.42857142857143,4.333333333333333,21.0,4.333333333333333,6.666666666666667,14.666666666666666,50.666666666666664,7.666666666666667,1.2857142857142858,7.857142857142857,20,1.2857142857142858,7.857142857142857,20
44,0.0,0.0,0.0,0,3,0,0,0,0,0,0.2857142857142857,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,9,0.8571428571428571,1.0,9
47,0.0,0.0,0.0,0,0,0,0,1,0,0,0.5714285714285714,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0,0.0,0.0,0
48,1.1428571428571428,2.142857142857143,2.0,0,3,5,13,9,2,0,5.285714285714286,0.0,0.6666666666666666,1.0,3.0,3.0,0.3333333333333333,0.0,2.5714285714285716,3.142857142857143,41,2.5714285714285716,3.142857142857143,41
71,0.0,0.0,0.0,0,0,12,0,0,0,0,8.285714285714286,0.0,0.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
73,1.1428571428571428,2.0,2.0,0,5,0,5,0,0,0,0.8571428571428571,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
75,0.14285714285714285,0.14285714285714285,0.25,0,0,0,0,3,4,0,0.5714285714285714,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.42857142857142855,0.42857142857142855,3,0.42857142857142855,0.42857142857142855,3
77,0.42857142857142855,0.7142857142857143,0.75,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,2,0.14285714285714285,0.0,2
78,1.2857142857142858,2.2857142857142856,2.25,0,2,0,0,0,0,0,0.14285714285714285,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
83,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,2,0.2857142857142857,0.14285714285714285,2
84,0.5714285714285714,1.0,1.0,0,6,4,0,2,0,0,2.857142857142857,0.0,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.2857142857142857,0.2857142857142857,2,0.2857142857142857,0.2857142857142857,2
85,0.8571428571428571,1.2857142857142858,1.5,0,6,0,0,0,0,0,1.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
86,7.714285714285714,13.857142857142858,13.5,0,7,2,22,13,12,0,12.571428571428571,0.0,2.3333333333333335,0.3333333333333333,5.0,3.6666666666666665,3.6666666666666665,0.0,2.142857142857143,2.2857142857142856,54,2.142857142857143,2.2857142857142856,54
88,1.0,2.0,1.75,0,0,0,7,1,5,0,1.7142857142857142,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.2857142857142857,0.14285714285714285,2,0.2857142857142857,0.14285714285714285,2
90,0.5714285714285714,0.5714285714285714,1.0,0,0,0,0,10,0,0,3.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0,0.0,0.0,0
91,0.14285714285714285,0.14285714285714285,0.25,0,0,0,0,4,0,0,0.42857142857142855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
