participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Tuesday,SumTotalEventInteractions,TodayPageGoal-Tuesday,FZFolderUse,TodayPageGoal-Saturday,SumTotalFZNoteInteractions,TodayPageGoal-Sunday,TodayPageUse-Thursday,TodayPageGoal-Friday,LTGFolderUse,TodayPageGoal-Monday,FZGoal,TodayPageGoal-Wednesday,TodayPageUse-Friday,TodayPageUse-Wednesday,TodayPageUse-Sunday,TodayPageGoal-Thursday,TodayPageUse-Monday,TodayPageUse-Saturday,LTGGoal,SumTotalLTGNoteInteractions
10,0.7142857142857143,1.4285714285714286,1.25,6,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0
28,0.7142857142857143,1.1428571428571428,1.25,0,6.857142857142857,0.0,0.7142857142857143,0.0,1.5714285714285714,0.0,0,0.0,0.7142857142857143,16.0,5,0.0,0,0,0,0.0,41,0,5,1.5714285714285714
29,4.857142857142857,8.142857142857142,8.5,47,11.714285714285714,13.666666666666666,1.0,0.0,1.4285714285714286,0.0,0,0.0,1.0,8.666666666666666,7,5.0,0,20,0,0.0,33,0,7,1.4285714285714286
34,1.0,3.4285714285714284,1.75,0,1.5714285714285714,0.0,0.0,0.0,2.4285714285714284,0.0,0,0.0,0.0,0.0,0,3.6666666666666665,0,13,0,0.0,0,0,0,2.4285714285714284
48,1.2857142857142858,1.5714285714285714,2.25,2,2.7142857142857144,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,14,0.0,0.42857142857142855,4.0,3,0.0,0,0,0,2.3333333333333335,13,0,3,0.42857142857142855
71,2.7142857142857144,4.857142857142857,4.75,13,5.0,3.6666666666666665,0.0,0.0,0.0,0.0,17,0.0,0.0,1.3333333333333333,0,2.3333333333333335,0,12,0,4.333333333333333,4,0,0,0.0
73,1.1428571428571428,1.7142857142857142,2.0,5,0.8571428571428571,1.0,0.5714285714285714,0.0,0.7142857142857143,0.0,5,0.0,0.5714285714285714,0.0,4,0.0,1,3,0,1.0,0,0,4,0.7142857142857143
88,0.14285714285714285,0.14285714285714285,0.25,6,0.8571428571428571,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0
95,13.571428571428571,29.142857142857142,23.75,54,14.428571428571429,16.666666666666668,0.0,1.6666666666666667,0.0,0.0,17,2.0,0.0,0.0,0,9.333333333333334,6,33,0,4.0,3,7,0,0.0
97,4.857142857142857,11.571428571428571,8.5,60,9.571428571428571,22.0,0.0,0.0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0,0.0,0,0,3,0.0,0,0,0,0.0
100,6.571428571428571,14.428571428571429,11.5,60,13.714285714285714,22.333333333333332,0.8571428571428571,2.6666666666666665,0.8571428571428571,0.0,8,2.0,0.8571428571428571,1.0,6,2.0,10,8,0,2.0,2,11,6,0.8571428571428571
101,1.0,2.2857142857142856,1.75,25,4.714285714285714,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0
103,2.0,2.5714285714285716,3.5,0,4.714285714285714,0.0,0.0,0.0,0.0,0.6666666666666666,0,0.6666666666666666,0.0,0.0,0,9.666666666666666,3,29,4,0.0,0,0,0,0.0
105,3.4285714285714284,6.857142857142857,6.0,0,6.857142857142857,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,16.0,0,35,1,0.0,0,0,0,0.0
106,3.5714285714285716,9.428571428571429,6.25,32,7.857142857142857,9.666666666666666,0.42857142857142855,0.6666666666666666,0.5714285714285714,0.0,0,5.666666666666667,0.42857142857142855,0.0,3,2.3333333333333335,18,6,0,0.0,0,3,3,0.5714285714285714
109,6.0,12.0,10.5,1,8.0,0.0,0.0,2.6666666666666665,0.0,0.0,4,1.0,0.0,0.0,0,14.0,3,38,0,1.0,0,8,0,0.0
110,11.571428571428571,33.42857142857143,20.25,0,18.428571428571427,0.0,0.0,1.0,0.0,0.0,56,19.0,0.0,0.0,0,3.6666666666666665,54,13,0,19.333333333333332,0,4,0,0.0
111,1.5714285714285714,3.7142857142857144,2.75,0,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8.0,0,27,0,0.0,0,0,0,0.0
114,7.0,13.428571428571429,12.25,61,22.0,19.333333333333332,2.2857142857142856,3.3333333333333335,0.42857142857142855,0.0,4,25.0,2.2857142857142856,0.0,16,2.6666666666666665,83,8,0,1.0,0,10,16,0.42857142857142855
115,11.0,28.571428571428573,19.25,39,14.0,11.333333333333334,0.0,2.0,0.0,1.3333333333333333,10,1.0,0.0,0.0,0,14.666666666666666,4,41,8,2.3333333333333335,0,6,0,0.0
116,6.571428571428571,13.428571428571429,11.5,78,19.571428571428573,36.0,0.0,0.0,0.5714285714285714,1.3333333333333333,0,0.0,0.0,8.333333333333334,0,0.0,0,1,4,0.0,20,0,0,0.5714285714285714
119,12.714285714285714,31.285714285714285,22.25,110,19.0,34.333333333333336,0.0,2.3333333333333335,0.0,1.3333333333333333,10,1.0,0.0,0.0,0,2.0,3,6,5,3.3333333333333335,0,7,0,0.0
121,3.2857142857142856,9.142857142857142,5.75,0,5.857142857142857,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,13.666666666666666,0,29,0,0.0,0,0,0,0.0
122,1.8571428571428572,4.0,3.25,0,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,7.333333333333333,0,20,0,0.6666666666666666,0,0,0,0.0
124,6.285714285714286,14.857142857142858,11.0,46,7.714285714285714,13.666666666666666,0.0,0.0,0.0,0.0,11,1.3333333333333333,0.0,0.0,0,0.3333333333333333,8,1,0,2.6666666666666665,0,0,0,0.0
125,9.714285714285714,20.714285714285715,17.0,57,19.0,24.0,5.0,0.0,6.285714285714286,1.3333333333333333,19,9.0,5.0,0.0,35,4.0,21,6,4,6.0,0,1,35,6.285714285714286
129,2.5714285714285716,4.714285714285714,4.5,0,5.0,0.0,0.0,2.3333333333333335,0.0,0.0,1,0.0,0.0,0.0,0,9.0,0,25,0,0.3333333333333333,0,9,0,0.0
130,8.714285714285714,16.571428571428573,15.25,0,22.857142857142858,0.0,0.0,3.3333333333333335,0.0,0.0,5,18.0,0.0,0.0,0,30.666666666666668,45,79,0,1.3333333333333333,0,11,0,0.0
131,1.7142857142857142,4.571428571428571,3.0,0,4.428571428571429,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10.333333333333334,0,26,0,0.0,0,0,0,0.0
132,3.7142857142857144,8.0,6.5,0,13.857142857142858,0.0,0.0,1.0,0.0,0.0,0,11.0,0.0,0.0,0,20.333333333333332,33,56,0,0.0,0,3,0,0.0
133,0.5714285714285714,1.0,1.0,22,3.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0
137,1.5714285714285714,2.857142857142857,2.75,0,3.2857142857142856,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7.666666666666667,0,23,0,0.0,0,0,0,0.0
139,1.0,1.5714285714285714,1.75,7,1.2857142857142858,1.3333333333333333,0.0,0.0,0.0,0.0,0,0.0,0.0,1.6666666666666667,0,0.0,0,0,0,0.0,10,0,0,0.0
140,2.4285714285714284,4.428571428571429,4.25,0,3.142857142857143,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.6666666666666667,0,5.666666666666667,0,21,0,0.0,5,0,0,0.0
22,0.0,0.0,0.0,2,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.3333333333333333,0,0.0,0,0,0,0.0,6,0,0,0.0
47,0.0,0.0,0.0,0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666666,0.0,0.0,0,0.0,2,0,0,0.0,0,0,0,0.0
141,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1,0,0,0.0,0,0,0,0.0
