participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Tuesday,LTGFolderUse,LTGGoal,FZFolderUse,FZGoal,TodayPageUse-Wednesday,TodayPageUse-Thursday,TodayPageUse-Friday,TodayPageGoal-Sunday,TodayPageUse-Monday,TodayPageGoal-Tuesday,TodayPageGoal-Saturday,TodayPageUse-Sunday,TodayPageUse-Saturday,TodayPageGoal-Wednesday,TodayPageGoal-Friday,SumTotalFZNoteInteractions,SumTotalLTGNoteInteractions,TodayPageGoal-Monday,SumTotalEventInteractions,TodayPageGoal-Thursday
21,0.14285714285714285,0.2857142857142857,0.25,2,0.2857142857142857,5,0.2857142857142857,5,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.7142857142857142,2.5714285714285716,3.0,0,1.5714285714285714,61,1.5714285714285714,61,0,0,0,0.0,7,0.0,0.0,0,0,0.0,0.0,1.8571428571428572,1.8571428571428572,0.6666666666666666,2.2857142857142856,0.0
34,0.14285714285714285,0.2857142857142857,0.25,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.2857142857142857,0.2857142857142857,0.5,0,3.857142857142857,105,3.857142857142857,105,7,7,8,0.0,4,0.0,0.0,0,0,1.6666666666666667,2.0,6.142857142857143,6.142857142857143,0.6666666666666666,3.7142857142857144,2.0
73,1.7142857142857142,3.4285714285714284,3.0,0,1.5714285714285714,27,1.5714285714285714,27,11,2,0,2.3333333333333335,0,0.0,0.0,7,0,3.6666666666666665,0.0,2.4285714285714284,2.4285714285714284,0.0,8.857142857142858,0.3333333333333333
74,0.2857142857142857,0.2857142857142857,0.5,1,0.5714285714285714,12,0.5714285714285714,12,0,0,0,0.0,1,0.3333333333333333,0.0,0,0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.14285714285714285,0.0
95,8.285714285714286,17.0,14.5,25,0.14285714285714285,3,0.14285714285714285,3,20,6,4,0.6666666666666666,9,6.0,1.6666666666666667,3,4,7.0,1.6666666666666667,0.0,0.0,2.0,12.714285714285714,1.6666666666666667
97,1.8571428571428572,3.857142857142857,3.25,14,0.42857142857142855,10,0.42857142857142855,10,3,3,3,1.0,0,4.0,0.0,2,0,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.0,6.857142857142857,0.6666666666666666
99,14.285714285714286,50.285714285714285,25.0,19,1.8571428571428572,47,1.8571428571428572,47,11,0,13,0.6666666666666666,0,5.666666666666667,2.3333333333333335,4,5,3.6666666666666665,5.0,2.4285714285714284,2.4285714285714284,0.0,20.857142857142858,0.0
100,2.7142857142857144,5.428571428571429,4.75,19,1.0,70,1.0,70,6,6,3,0.0,3,6.0,1.6666666666666667,0,7,2.0,1.3333333333333333,1.2857142857142858,1.2857142857142858,1.3333333333333333,10.571428571428571,2.0
101,3.2857142857142856,6.0,5.75,10,0.42857142857142855,6,0.42857142857142855,6,0,4,0,0.0,2,3.0,0.0,0,0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.3333333333333333,3.857142857142857,1.6666666666666667
103,2.0,3.142857142857143,3.5,0,0.42857142857142855,6,0.42857142857142855,6,13,0,0,0.0,0,0.0,0.0,0,0,5.0,0.0,0.2857142857142857,0.2857142857142857,0.0,6.0,0.0
105,1.7142857142857142,3.142857142857143,3.0,0,0.0,0,0.0,0,0,0,0,1.6666666666666667,10,0.0,0.0,5,0,0.0,0.0,0.0,0.0,3.3333333333333335,5.142857142857143,0.0
106,1.1428571428571428,2.4285714285714284,2.0,10,0.14285714285714285,10,0.14285714285714285,10,0,0,8,1.0,3,3.6666666666666665,0.0,3,0,0.0,3.0,0.0,0.0,1.0,6.428571428571429,0.0
107,3.857142857142857,8.428571428571429,6.75,0,0.0,0,0.0,0,0,0,0,0.0,8,0.0,0.0,0,0,0.0,0.0,0.2857142857142857,0.2857142857142857,2.6666666666666665,6.285714285714286,0.0
109,9.142857142857142,33.0,16.0,0,1.1428571428571428,12,1.1428571428571428,12,13,1,3,1.6666666666666667,0,0.0,0.0,5,0,5.0,1.0,0.7142857142857143,0.7142857142857143,0.0,8.142857142857142,0.3333333333333333
110,1.7142857142857142,3.5714285714285716,3.0,0,0.8571428571428571,10,0.8571428571428571,10,8,0,7,1.6666666666666667,3,0.0,2.0,4,7,2.3333333333333335,2.3333333333333335,1.1428571428571428,1.1428571428571428,1.0,7.428571428571429,0.0
111,13.0,31.285714285714285,22.75,0,1.1428571428571428,17,1.1428571428571428,17,26,0,0,0.0,0,0.0,0.0,0,0,9.0,0.0,2.4285714285714284,2.4285714285714284,0.0,15.857142857142858,0.0
114,2.4285714285714284,5.714285714285714,4.25,0,0.14285714285714285,1,0.14285714285714285,1,12,0,10,2.0,0,0.0,0.6666666666666666,7,2,3.6666666666666665,3.3333333333333335,0.14285714285714285,0.14285714285714285,0.0,6.571428571428571,0.0
115,3.0,6.285714285714286,5.25,16,0.14285714285714285,6,0.14285714285714285,6,6,6,6,1.3333333333333333,11,4.666666666666667,1.6666666666666667,3,5,2.0,2.6666666666666665,0.0,0.0,4.0,13.571428571428571,1.6666666666666667
116,2.142857142857143,4.142857142857143,3.75,13,0.14285714285714285,4,0.14285714285714285,4,3,0,2,0.0,6,4.666666666666667,2.0,0,5,1.0,1.0,0.0,0.0,2.0,8.571428571428571,0.0
119,3.5714285714285716,8.714285714285714,6.25,25,0.5714285714285714,36,0.5714285714285714,36,5,11,4,3.3333333333333335,5,8.0,1.6666666666666667,9,4,2.3333333333333335,1.6666666666666667,0.8571428571428571,0.8571428571428571,2.0,21.285714285714285,4.333333333333333
121,0.5714285714285714,0.8571428571428571,1.0,0,0.2857142857142857,4,0.2857142857142857,4,10,0,0,0.0,0,0.0,0.0,0,0,2.6666666666666665,0.0,0.14285714285714285,0.14285714285714285,0.0,1.4285714285714286,0.0
122,4.142857142857143,7.857142857142857,7.25,0,0.42857142857142855,7,0.42857142857142855,7,0,8,0,0.0,0,0.0,5.333333333333333,0,11,0.0,0.0,1.1428571428571428,1.1428571428571428,0.0,9.571428571428571,2.3333333333333335
124,3.2857142857142856,6.571428571428571,5.75,13,0.5714285714285714,8,0.5714285714285714,8,2,10,0,0.3333333333333333,2,4.0,5.0,2,17,0.3333333333333333,0.0,1.0,1.0,0.6666666666666666,19.285714285714285,3.0
125,8.428571428571429,16.0,14.75,17,1.5714285714285714,28,1.5714285714285714,28,6,17,6,0.0,21,4.666666666666667,0.0,0,0,1.6666666666666667,1.6666666666666667,1.2857142857142858,1.2857142857142858,7.0,27.428571428571427,6.0
128,0.2857142857142857,0.2857142857142857,0.5,4,0.42857142857142855,8,0.42857142857142855,8,8,0,0,0.0,0,0.6666666666666666,0.0,0,0,1.6666666666666667,0.0,0.8571428571428571,0.8571428571428571,0.0,2.0,0.0
129,3.5714285714285716,7.285714285714286,6.25,0,1.0,12,1.0,12,17,6,0,0.0,0,0.0,0.0,0,0,4.0,0.0,0.8571428571428571,0.8571428571428571,0.0,6.0,2.0
130,2.0,4.428571428571429,3.5,4,0.5714285714285714,7,0.5714285714285714,7,14,0,8,1.3333333333333333,4,1.3333333333333333,3.0,4,8,4.333333333333333,2.3333333333333335,0.2857142857142857,0.2857142857142857,1.6666666666666667,12.714285714285714,0.0
131,1.2857142857142858,2.5714285714285716,2.25,0,0.2857142857142857,3,0.2857142857142857,3,11,0,0,0.0,0,0.0,0.0,0,0,2.6666666666666665,0.0,0.14285714285714285,0.14285714285714285,0.0,3.4285714285714284,0.0
132,15.142857142857142,37.857142857142854,26.5,14,2.4285714285714284,42,2.4285714285714284,42,13,4,6,1.0,2,5.0,1.6666666666666667,4,4,3.3333333333333335,2.6666666666666665,6.0,6.0,0.6666666666666666,11.142857142857142,1.3333333333333333
