participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Monday,TodayPageUse-Tuesday,TodayPageUse-Friday,SumTotalEventInteractions,TodayPageGoal-Monday,TodayPageGoal-Friday,LTGFolderUse,SumTotalLTGNoteInteractions,LTGGoal,FZFolderUse,SumTotalFZNoteInteractions,FZGoal,TodayPageGoal-Saturday,TodayPageGoal-Tuesday,TodayPageGoal-Sunday,TodayPageUse-Thursday,TodayPageGoal-Wednesday,TodayPageUse-Wednesday,TodayPageUse-Sunday,TodayPageGoal-Thursday,TodayPageUse-Saturday
48,2.2857142857142856,4.428571428571429,4.0,20,2,28,6.285714285714286,5.333333333333333,9.333333333333334,0.8571428571428571,1.0,6,0.8571428571428571,1.0,6,0.0,0.0,0.0,0,0.0,0,0,0.0,0
77,0.14285714285714285,0.14285714285714285,0.25,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0
78,1.8571428571428572,4.285714285714286,3.25,0,0,0,1.2857142857142858,0.0,0.0,1.4285714285714286,0.2857142857142857,10,1.4285714285714286,0.2857142857142857,10,0.0,0.0,0.0,5,2.3333333333333335,13,0,0.6666666666666666,0
95,11.428571428571429,23.857142857142858,20.0,7,36,53,16.857142857142858,1.6666666666666667,15.666666666666666,3.0,0.42857142857142855,21,3.0,0.42857142857142855,21,1.0,8.0,2.3333333333333335,17,5.333333333333333,17,13,5.333333333333333,3
97,1.0,1.7142857142857142,1.75,0,0,0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,5,3.3333333333333335,11,0,1.3333333333333333,0
99,3.2857142857142856,6.0,5.75,0,0,8,20.0,0.0,4.0,4.285714285714286,1.0,30,4.285714285714286,1.0,30,0.0,0.0,0.0,0,42.666666666666664,99,0,0.0,0
100,2.4285714285714284,4.0,4.25,6,21,26,11.571428571428571,2.3333333333333335,7.333333333333333,6.857142857142857,1.5714285714285714,48,6.857142857142857,1.5714285714285714,48,0.3333333333333333,6.666666666666667,2.3333333333333335,10,4.666666666666667,16,9,3.3333333333333335,2
101,1.2857142857142858,2.5714285714285716,2.25,0,9,5,2.0,0.0,1.3333333333333333,1.8571428571428572,0.42857142857142855,13,1.8571428571428572,0.42857142857142855,13,0.0,1.6666666666666667,1.6666666666666667,0,0.0,0,6,0.0,0
103,5.571428571428571,10.857142857142858,9.75,0,0,9,12.285714285714286,0.0,3.0,0.42857142857142855,0.5714285714285714,3,0.42857142857142855,0.5714285714285714,3,0.0,0.0,0.0,0,25.666666666666668,75,0,0.0,0
105,6.428571428571429,12.428571428571429,11.25,0,0,12,19.428571428571427,0.0,4.333333333333333,10.714285714285714,1.8571428571428572,75,10.714285714285714,1.8571428571428572,75,0.0,0.0,0.0,14,36.0,91,0,5.0,0
