participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Thursday,SumTotalEventInteractions,TodayPageGoal-Thursday,FZGoal,SumTotalFZNoteInteractions,SumTotalLTGNoteInteractions,TodayPageUse-Monday,TodayPageGoal-Tuesday,TodayPageUse-Friday,TodayPageGoal-Wednesday,TodayPageGoal-Saturday,TodayPageGoal-Monday,TodayPageUse-Sunday,TodayPageUse-Saturday,LTGGoal,LTGFolderUse,FZFolderUse,TodayPageUse-Tuesday,TodayPageUse-Wednesday,TodayPageGoal-Sunday,TodayPageGoal-Friday
62,0.8571428571428571,1.5714285714285714,1.5,3,1.1428571428571428,1.6666666666666667,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0
73,0.2857142857142857,0.2857142857142857,0.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0,0.0,0.0
95,11.0,23.428571428571427,19.25,3,12.285714285714286,0.6666666666666666,2,0.14285714285714285,0.14285714285714285,3,6.333333333333333,3,4.666666666666667,2.0,0.6666666666666666,3,6,2,0.2857142857142857,0.2857142857142857,24,16,0.6666666666666666,1.0
97,6.571428571428571,12.857142857142858,11.5,0,8.714285714285714,0.0,9,1.4285714285714286,1.4285714285714286,0,5.0,0,0.6666666666666666,0.0,0.0,0,0,9,1.0,1.0,20,3,0.0,0.0
99,0.7142857142857143,1.5714285714285714,1.25,1,0.14285714285714285,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0,0.3333333333333333,0.0
100,3.142857142857143,5.285714285714286,5.5,4,12.142857142857142,1.3333333333333333,17,1.0,1.0,8,4.666666666666667,3,2.3333333333333335,0.6666666666666666,2.0,4,2,17,1.0,1.0,19,8,1.0,0.6666666666666666
101,2.4285714285714284,4.857142857142857,4.25,0,9.857142857142858,0.0,3,0.2857142857142857,0.2857142857142857,1,2.3333333333333335,0,4.0,0.0,0.3333333333333333,0,0,3,0.2857142857142857,0.2857142857142857,7,10,0.0,0.0
103,2.0,3.2857142857142856,3.5,0,4.0,0.0,15,0.2857142857142857,0.2857142857142857,0,0.0,0,4.0,0.0,0.0,0,0,15,0.5714285714285714,0.5714285714285714,0,12,0.0,0.0
105,4.428571428571429,6.571428571428571,7.75,6,16.142857142857142,2.6666666666666665,44,3.142857142857143,3.142857142857143,7,0.0,0,7.333333333333333,0.0,2.6666666666666665,0,0,44,1.1428571428571428,1.1428571428571428,0,20,0.0,0.0
106,0.8571428571428571,2.2857142857142856,1.5,0,4.0,0.0,5,1.0,1.0,0,2.0,0,3.0,0.0,0.0,0,0,5,0.7142857142857143,0.7142857142857143,8,10,0.0,0.0
109,1.7142857142857142,3.4285714285714284,3.0,0,5.285714285714286,0.0,0,0.0,0.0,0,0.0,0,0.0,1.6666666666666667,0.0,4,5,0,0.0,0.0,0,0,1.6666666666666667,0.0
110,6.0,12.571428571428571,10.5,5,10.857142857142858,1.3333333333333333,16,0.14285714285714285,0.14285714285714285,0,3.3333333333333335,9,3.6666666666666665,0.0,0.0,0,0,16,0.7142857142857143,0.7142857142857143,9,11,0.0,3.3333333333333335
111,3.4285714285714284,6.0,6.0,0,6.285714285714286,0.0,14,0.42857142857142855,0.42857142857142855,0,0.0,0,3.3333333333333335,0.0,0.0,0,0,14,0.5714285714285714,0.5714285714285714,0,13,0.0,0.0
114,0.8571428571428571,1.7142857142857142,1.5,1,8.714285714285714,0.3333333333333333,0,0.0,0.0,2,1.6666666666666667,2,0.6666666666666666,0.3333333333333333,0.6666666666666666,3,1,0,0.0,0.0,4,2,1.0,0.6666666666666666
115,2.5714285714285716,5.0,4.5,0,11.571428571428571,0.0,6,0.7142857142857143,0.7142857142857143,3,1.3333333333333333,0,3.6666666666666665,0.0,1.3333333333333333,2,0,6,0.5714285714285714,0.5714285714285714,6,11,0.6666666666666666,0.0
116,2.857142857142857,5.714285714285714,5.0,2,19.285714285714285,1.3333333333333333,9,0.2857142857142857,0.2857142857142857,12,2.6666666666666665,3,4.666666666666667,0.0,5.333333333333333,6,0,9,0.42857142857142855,0.42857142857142855,9,12,3.0,1.3333333333333333
119,6.0,12.571428571428571,10.5,4,10.571428571428571,1.6666666666666667,16,1.5714285714285714,1.5714285714285714,1,6.333333333333333,8,1.3333333333333333,0.0,0.3333333333333333,0,0,16,1.1428571428571428,1.1428571428571428,21,5,0.0,3.0
121,5.857142857142857,11.428571428571429,10.25,0,6.714285714285714,0.0,2,0.42857142857142855,0.42857142857142855,0,0.0,0,6.333333333333333,0.0,0.0,0,0,2,0.2857142857142857,0.2857142857142857,0,18,0.0,0.0
122,2.4285714285714284,4.428571428571429,4.25,0,15.714285714285714,0.0,5,1.2857142857142858,1.2857142857142858,0,0.0,0,6.333333333333333,11.666666666666666,0.0,0,27,5,0.5714285714285714,0.5714285714285714,0,16,0.0,0.0
124,1.1428571428571428,2.2857142857142856,2.0,4,10.857142857142858,1.0,6,0.2857142857142857,0.2857142857142857,5,4.333333333333333,4,0.6666666666666666,0.0,2.0,7,0,6,0.5714285714285714,0.5714285714285714,10,2,2.0,1.0
125,2.142857142857143,3.0,3.75,0,4.714285714285714,0.0,10,1.2857142857142858,1.2857142857142858,1,5.666666666666667,0,0.3333333333333333,0.0,0.6666666666666666,0,0,10,0.8571428571428571,0.8571428571428571,20,2,0.0,0.0
128,0.42857142857142855,0.5714285714285714,0.75,0,1.8571428571428572,0.0,0,0.42857142857142855,0.42857142857142855,4,0.0,0,0.0,0.0,1.0,5,0,0,0.0,0.0,0,0,1.3333333333333333,0.0
129,8.714285714285714,17.0,15.25,6,11.0,2.3333333333333335,15,2.2857142857142856,2.2857142857142856,0,0.0,2,7.666666666666667,1.3333333333333333,0.0,0,4,15,1.2857142857142858,1.2857142857142858,0,21,0.0,0.6666666666666666
131,2.2857142857142856,4.0,4.0,0,6.142857142857143,0.0,32,0.5714285714285714,0.5714285714285714,0,0.0,0,7.0,0.0,0.0,0,0,32,0.7142857142857143,0.7142857142857143,0,19,0.0,0.0
132,24.571428571428573,55.857142857142854,43.0,3,26.857142857142858,1.0,6,2.142857142857143,2.142857142857143,5,13.0,9,7.333333333333333,1.3333333333333333,1.3333333333333333,0,3,6,0.5714285714285714,0.5714285714285714,32,22,0.0,2.6666666666666665
137,0.5714285714285714,1.1428571428571428,1.0,0,4.285714285714286,0.0,16,0.5714285714285714,0.5714285714285714,0,0.0,0,4.0,0.0,0.0,0,0,16,0.5714285714285714,0.5714285714285714,0,12,0.0,0.0
140,0.7142857142857143,1.2857142857142858,1.25,0,0.7142857142857143,0.0,6,0.42857142857142855,0.42857142857142855,0,0.0,0,1.3333333333333333,0.0,0.0,0,0,6,0.42857142857142855,0.42857142857142855,0,6,0.0,0.0
145,0.14285714285714285,0.14285714285714285,0.25,0,0.5714285714285714,0.0,3,0.2857142857142857,0.2857142857142857,6,0.3333333333333333,0,0.0,0.0,1.0,0,0,3,0.2857142857142857,0.2857142857142857,2,0,0.0,0.0
157,0.8571428571428571,2.0,1.5,0,3.4285714285714284,0.0,0,0.0,0.0,12,0.0,0,0.0,0.0,2.6666666666666665,0,0,0,0.0,0.0,0,0,0.0,0.0
78,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0,0.0,0.0
130,0.0,0.0,0.0,0,2.5714285714285716,0.0,0,0.0,0.0,0,2.0,0,0.0,0.0,0.0,3,0,0,0.0,0.0,6,0,0.6666666666666666,0.0
82,0.0,0.0,0.0,0,0.14285714285714285,0.0,4,0.2857142857142857,0.2857142857142857,2,0.0,0,0.0,0.0,0.3333333333333333,0,0,4,0.2857142857142857,0.2857142857142857,0,0,0.0,0.0
143,0.0,0.0,0.0,0,1.2857142857142858,0.0,0,0.0,0.0,7,0.0,0,0.0,0.0,2.0,0,0,0,0.0,0.0,0,0,0.0,0.0
149,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0
48,0.0,0.0,0.0,0,0.0,0.0,1,0.14285714285714285,0.14285714285714285,0,0.0,0,0.0,0.0,0.0,0,0,1,0.14285714285714285,0.14285714285714285,0,0,0.0,0.0
