participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Wednesday,TodayPageUse-Thursday,SumTotalEventInteractions,TodayPageGoal-Wednesday,TodayPageGoal-Thursday,FZGoal,SumTotalFZNoteInteractions,SumTotalLTGNoteInteractions,TodayPageUse-Monday,TodayPageGoal-Tuesday,TodayPageUse-Friday,TodayPageGoal-Saturday,TodayPageGoal-Monday,TodayPageUse-Sunday,TodayPageUse-Saturday,LTGGoal,LTGFolderUse,FZFolderUse,TodayPageUse-Tuesday,TodayPageGoal-Sunday,TodayPageGoal-Friday
73,1.2857142857142858,2.2857142857142856,2.25,4,3,2.5714285714285716,1.3333333333333333,1.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
95,2.142857142857143,4.714285714285714,3.75,9,4,11.714285714285714,3.0,1.3333333333333333,9,0.7142857142857143,0.7142857142857143,2,5.0,8,3.6666666666666665,0.3333333333333333,7,14,9,0.7142857142857143,0.7142857142857143,16,2.0,3.0
99,0.2857142857142857,0.5714285714285714,0.5,0,0,0.5714285714285714,0.0,0.0,0,0.0,0.0,1,0.0,0,0.0,0.3333333333333333,0,0,0,0.0,0.0,0,0.0,0.0
100,2.0,3.857142857142857,3.5,3,6,5.428571428571429,0.6666666666666666,1.3333333333333333,6,0.14285714285714285,0.14285714285714285,5,0.0,2,1.3333333333333333,1.6666666666666667,0,6,6,0.42857142857142855,0.42857142857142855,0,0.0,0.6666666666666666
101,1.0,2.0,1.75,0,0,1.7142857142857142,0.0,0.0,0,0.7142857142857143,0.7142857142857143,3,0.0,2,0.0,0.6666666666666666,2,0,0,0.0,0.0,0,0.3333333333333333,0.6666666666666666
109,7.0,15.142857142857142,12.25,0,19,14.142857142857142,0.0,6.666666666666667,0,0.0,0.0,8,1.6666666666666667,0,0.0,3.0,0,0,0,0.0,0.0,4,0.0,0.0
110,2.4285714285714284,6.0,4.25,9,4,10.0,3.6666666666666665,1.6666666666666667,3,0.5714285714285714,0.5714285714285714,0,2.0,0,0.0,0.0,3,0,3,0.2857142857142857,0.2857142857142857,5,1.0,0.0
114,2.4285714285714284,4.857142857142857,4.25,0,0,11.714285714285714,0.0,0.0,6,0.7142857142857143,0.7142857142857143,0,1.3333333333333333,10,3.0,0.0,4,9,6,0.8571428571428571,0.8571428571428571,3,1.6666666666666667,4.333333333333333
115,0.5714285714285714,1.1428571428571428,1.0,0,4,6.857142857142857,0.0,2.0,1,0.14285714285714285,0.14285714285714285,0,0.0,2,2.0,0.0,0,5,1,0.14285714285714285,0.14285714285714285,0,0.0,1.0
119,0.8571428571428571,2.0,1.5,6,5,8.0,2.0,1.3333333333333333,19,1.1428571428571428,1.1428571428571428,0,2.3333333333333335,5,2.0,0.0,0,4,19,0.8571428571428571,0.8571428571428571,9,0.0,1.3333333333333333
122,3.2857142857142856,8.857142857142858,5.75,0,0,17.714285714285715,0.0,0.0,0,0.0,0.0,0,0.0,0,10.333333333333334,0.0,0,20,0,0.0,0.0,0,0.0,0.0
124,1.4285714285714286,2.857142857142857,2.5,18,4,10.142857142857142,6.0,1.0,0,0.0,0.0,4,1.3333333333333333,4,0.0,1.0,0,0,0,0.0,0.0,4,0.0,1.6666666666666667
125,7.857142857142857,18.857142857142858,13.75,10,6,54.42857142857143,4.333333333333333,3.3333333333333335,44,5.285714285714286,5.285714285714286,24,0.0,0,0.0,11.333333333333334,29,0,44,2.142857142857143,2.142857142857143,0,15.666666666666666,0.0
129,1.1428571428571428,2.4285714285714284,2.0,0,4,3.2857142857142856,0.0,1.6666666666666667,6,0.42857142857142855,0.42857142857142855,5,0.3333333333333333,0,0.0,2.3333333333333335,2,0,6,0.42857142857142855,0.42857142857142855,1,0.3333333333333333,0.0
130,1.2857142857142858,2.0,2.25,0,5,8.857142857142858,0.0,1.6666666666666667,6,1.0,1.0,3,1.0,4,0.3333333333333333,0.6666666666666666,15,2,6,0.42857142857142855,0.42857142857142855,4,4.333333333333333,1.3333333333333333
131,1.8571428571428572,3.5714285714285716,3.25,3,2,5.428571428571429,1.3333333333333333,0.6666666666666666,0,0.0,0.0,1,0.0,1,0.6666666666666666,0.3333333333333333,3,2,0,0.0,0.0,0,1.3333333333333333,0.3333333333333333
132,9.142857142857142,18.142857142857142,16.0,7,3,23.428571428571427,2.6666666666666665,1.3333333333333333,8,1.2857142857142858,1.2857142857142858,7,3.6666666666666665,9,0.3333333333333333,3.3333333333333335,2,1,8,0.7142857142857143,0.7142857142857143,8,0.6666666666666666,4.333333333333333
157,0.14285714285714285,0.2857142857142857,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
