participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse
10,11.0,18.0,2.75,2.7142857142857144
21,1.0,2.0,0.25,0.8571428571428571
23,16.0,23.0,4.0,9.428571428571429
27,1.0,3.0,0.25,4.285714285714286
28,29.0,55.0,7.25,26.142857142857142
29,202.0,363.0,50.5,161.85714285714286
33,12.0,22.0,3.0,3.2857142857142856
34,12.0,30.0,3.0,2.5714285714285716
48,105.0,185.0,26.25,44.142857142857146
62,6.0,11.0,1.5,0.8571428571428571
71,85.0,145.0,21.25,42.142857142857146
73,67.0,122.0,16.75,26.0
74,2.0,2.0,0.5,1.1428571428571428
75,2.0,2.0,0.5,1.4285714285714286
76,34.0,76.0,8.5,6.142857142857143
77,11.0,18.0,2.75,1.7142857142857142
78,22.0,48.0,5.5,3.857142857142857
80,3.0,7.0,0.75,4.571428571428571
83,10.0,19.0,2.5,5.714285714285714
84,5.0,9.0,1.25,3.857142857142857
85,6.0,9.0,1.5,1.0
86,57.0,100.0,14.25,17.285714285714285
88,9.0,16.0,2.25,3.7142857142857144
90,4.0,4.0,1.0,3.2857142857142856
91,1.0,1.0,0.25,0.7142857142857143
95,532.0,1186.0,133.0,155.28571428571428
97,170.0,366.0,42.5,51.857142857142854
99,462.0,1307.0,115.5,131.0
100,313.0,643.0,78.25,140.71428571428572
101,176.0,414.0,44.0,48.857142857142854
103,255.0,527.0,63.75,90.71428571428571
105,267.0,879.0,66.75,91.85714285714286
106,193.0,429.0,48.25,83.71428571428571
107,29.0,61.0,7.25,6.142857142857143
109,483.0,1351.0,120.75,87.14285714285714
110,386.0,975.0,96.5,128.71428571428572
111,318.0,807.0,79.5,99.0
113,1.0,5.0,0.25,0.8571428571428571
114,217.0,442.0,54.25,129.14285714285714
115,345.0,754.0,86.25,154.42857142857142
116,239.0,493.0,59.75,96.0
119,450.0,1085.0,112.5,174.42857142857142
121,188.0,414.0,47.0,44.142857142857146
122,277.0,621.0,69.25,112.28571428571429
124,211.0,437.0,52.75,135.42857142857142
125,467.0,1224.0,116.75,217.28571428571428
128,173.0,422.0,43.25,98.85714285714286
129,248.0,495.0,62.0,77.42857142857143
130,280.0,613.0,70.0,126.42857142857143
131,170.0,359.0,42.5,60.714285714285715
132,1098.0,2483.0,274.5,230.28571428571428
133,45.0,91.0,11.25,21.857142857142858
134,11.0,22.0,2.75,3.2857142857142856
137,78.0,148.0,19.5,48.0
139,10.0,17.0,2.5,6.285714285714286
140,135.0,384.0,33.75,35.42857142857143
142,6.0,12.0,1.5,5.571428571428571
145,5.0,14.0,1.25,9.857142857142858
147,1.0,1.0,0.25,0.2857142857142857
154,1.0,1.0,0.25,0.42857142857142855
155,4.0,8.0,1.0,6.0
156,8.0,15.0,2.0,6.571428571428571
157,20.0,43.0,5.0,10.428571428571429
158,21.0,49.0,5.25,8.571428571428571
159,7.0,14.0,1.75,2.0
162,5.0,12.0,1.25,5.0
22,,,,1.5714285714285714
44,,,,0.5714285714285714
47,,,,1.1428571428571428
82,,,,0.42857142857142855
141,,,,0.14285714285714285
143,,,,1.4285714285714286
144,,,,1.5714285714285714
146,,,,1.0
149,,,,0.14285714285714285
